Date,Total_Cases,Total_Deaths,New_Cases,New_Deaths,Change_In_Cases,Change_In_Deaths,Death_Percent
2020-03-01,88,3,32,2,0.00%,0.00%,3.41%
2020-03-02,104,6,16,3,-50.00%,50.00%,5.77%
2020-03-03,125,10,21,4,31.25%,33.33%,8.00%
2020-03-04,161,12,36,2,71.43%,-50.00%,7.45%
2020-03-05,228,13,67,1,86.11%,-50.00%,5.70%
2020-03-06,311,16,83,3,23.88%,200.00%,5.14%
2020-03-07,428,20,117,4,40.96%,33.33%,4.67%
2020-03-08,547,23,119,3,1.71%,-25.00%,4.20%
2020-03-09,748,27,201,4,68.91%,33.33%,3.61%
2020-03-10,1018,32,270,5,34.33%,25.00%,3.14%
2020-03-11,1263,38,245,6,-9.26%,20.00%,3.01%
2020-03-12,1668,44,405,6,65.31%,0.00%,2.64%
2020-03-13,2224,51,556,7,37.28%,16.67%,2.29%
2020-03-14,2898,61,674,10,21.22%,42.86%,2.10%
2020-03-15,3600,69,702,8,4.15%,-20.00%,1.92%
2020-03-16,4507,92,907,23,29.20%,187.50%,2.04%
2020-03-17,5906,118,1399,26,54.24%,13.04%,2.00%
2020-03-18,8350,163,2444,45,74.70%,73.08%,1.95%
2020-03-19,12393,213,4043,50,65.43%,11.11%,1.72%
2020-03-20,18012,278,5619,65,38.98%,30.00%,1.54%
2020-03-21,24528,361,6516,83,15.96%,27.69%,1.47%
2020-03-22,33073,459,8545,98,31.14%,18.07%,1.39%
2020-03-23,43505,580,10432,121,22.08%,23.47%,1.33%
2020-03-24,53938,786,10433,206,0.01%,70.25%,1.46%
2020-03-25,68572,1055,14634,269,40.27%,30.58%,1.54%
2020-03-26,85570,1354,16998,299,16.15%,11.15%,1.58%
2020-03-27,102900,1771,17330,417,1.95%,39.46%,1.72%
2020-03-28,123966,2301,21066,530,21.56%,27.10%,1.86%
2020-03-29,142486,2719,18520,418,-12.09%,-21.13%,1.91%
2020-03-30,163955,3369,21469,650,15.92%,55.50%,2.05%
2020-03-31,188461,4305,24506,936,14.15%,44.00%,2.28%
2020-04-01,215391,5326,26930,1021,9.89%,9.08%,2.47%
2020-04-02,245108,6542,29717,1216,10.35%,19.10%,2.67%
2020-04-03,277426,7933,32318,1391,8.75%,14.39%,2.86%
2020-04-04,312525,9489,35099,1556,8.61%,11.86%,3.04%
2020-04-05,338141,10857,25616,1368,-27.02%,-12.08%,3.21%
2020-04-06,369057,12383,30916,1526,20.69%,11.55%,3.36%
2020-04-07,399394,14617,30337,2234,-1.87%,46.40%,3.66%
2020-04-08,431213,16702,31819,2085,4.89%,-6.67%,3.87%
2020-04-09,465912,18822,34699,2120,9.05%,1.68%,4.04%
2020-04-10,499385,21085,33473,2263,-3.53%,6.75%,4.22%
2020-04-11,531105,23169,31720,2084,-5.24%,-7.91%,4.36%
2020-04-12,558248,24850,27143,1681,-14.43%,-19.34%,4.45%
2020-04-13,584017,26614,25769,1764,-5.06%,4.94%,4.56%
2020-04-14,610708,29319,26691,2705,3.58%,53.34%,4.80%
2020-04-15,640741,32071,30033,2752,12.52%,1.74%,5.01%
2020-04-16,672354,34420,31613,2349,5.26%,-14.64%,5.12%
2020-04-17,703863,36709,31509,2289,-0.33%,-2.55%,5.22%
2020-04-18,732261,38660,28398,1951,-9.87%,-14.77%,5.28%
2020-04-19,757595,40180,25334,1520,-10.79%,-22.09%,5.30%
2020-04-20,784990,42017,27395,1837,8.14%,20.86%,5.35%
2020-04-21,810498,44689,25508,2672,-6.89%,45.45%,5.51%
2020-04-22,839330,47060,28832,2371,13.03%,-11.26%,5.61%
2020-04-23,873103,49229,33773,2169,17.14%,-8.52%,5.64%
2020-04-24,909841,51361,36738,2132,8.78%,-1.71%,5.65%
2020-04-25,944248,53328,34407,1967,-6.34%,-7.74%,5.65%
2020-04-26,970983,54581,26735,1253,-22.30%,-36.30%,5.62%
2020-04-27,994174,56023,23191,1442,-13.26%,15.08%,5.64%
2020-04-28,1018805,58417,24631,2394,6.21%,66.02%,5.73%
2020-04-29,1045362,60931,26557,2514,7.82%,5.01%,5.83%
2020-04-30,1075701,63141,30339,2210,14.24%,-12.09%,5.87%
2020-05-01,1109665,64903,33964,1762,11.95%,-20.27%,5.85%
2020-05-02,1139139,66486,29474,1583,-13.22%,-10.16%,5.84%
2020-05-03,1165279,67817,26140,1331,-11.31%,-15.92%,5.82%
2020-05-04,1187240,68906,21961,1089,-15.99%,-18.18%,5.80%
2020-05-05,1210945,71140,23705,2234,7.94%,105.14%,5.87%
2020-05-06,1235430,73848,24485,2708,3.29%,21.22%,5.98%
2020-05-07,1263903,75806,28473,1958,16.29%,-27.70%,6.00%
2020-05-08,1291546,77381,27643,1575,-2.92%,-19.56%,5.99%
2020-05-09,1316415,78835,24869,1454,-10.04%,-7.68%,5.99%
2020-05-10,1336732,79767,20317,932,-18.30%,-35.90%,5.97%
2020-05-11,1354350,80749,17618,982,-13.28%,5.36%,5.96%
2020-05-12,1376649,82401,22299,1652,26.57%,68.23%,5.99%
2020-05-13,1397790,84169,21141,1768,-5.19%,7.02%,6.02%
2020-05-14,1424751,85907,26961,1738,27.53%,-1.70%,6.03%
2020-05-15,1450974,87500,26223,1593,-2.74%,-8.34%,6.03%
2020-05-16,1474633,88725,23659,1225,-9.78%,-23.10%,6.02%
2020-05-17,1493647,89569,19014,844,-19.63%,-31.10%,6.00%
2020-05-18,1515467,90415,21820,846,14.76%,0.24%,5.97%
2020-05-19,1536436,91935,20969,1520,-3.90%,79.67%,5.98%
2020-05-20,1559500,93412,23064,1477,9.99%,-2.83%,5.99%
2020-05-21,1585234,94723,25734,1311,11.58%,-11.24%,5.98%
2020-05-22,1609027,96011,23793,1288,-7.54%,-1.75%,5.97%
2020-05-23,1631295,97061,22268,1050,-6.41%,-18.48%,5.95%
2020-05-24,1651326,97681,20031,620,-10.05%,-40.95%,5.92%
2020-05-25,1670426,98191,19100,510,-4.65%,-17.74%,5.88%
2020-05-26,1689315,98938,18889,747,-1.10%,46.47%,5.86%
2020-05-27,1708054,100423,18739,1485,-0.79%,98.80%,5.88%
2020-05-28,1730523,101623,22469,1200,19.91%,-19.19%,5.87%
2020-05-29,1755068,102813,24545,1190,9.24%,-0.83%,5.86%
2020-05-30,1778466,103776,23398,963,-4.67%,-19.08%,5.84%
2020-05-31,1799100,104380,20634,604,-11.81%,-37.28%,5.80%
2020-06-01,1820994,105114,21894,734,6.11%,21.52%,5.77%
2020-06-02,1841779,106196,20785,1082,-5.07%,47.41%,5.77%
2020-06-03,1861760,107185,19981,989,-3.87%,-8.60%,5.76%
